"municipio","ano","quarter","precio"
"Alcalá De Henares",2009,4,8.56138561184977
"Alcobendas",2009,4,NA
"Alcorcón",2009,4,8.79203715026961
"Alpedrete",2009,4,NA
"Aranjuez",2009,4,7.75062476429433
"Arroyomolinos",2009,4,NA
"Boadilla Del Monte",2009,4,9.50850132662013
"Ciempozuelos",2009,4,NA
"Collado Villalba",2009,4,9.09812196091943
"Colmenar Viejo",2009,4,NA
"Coslada",2009,4,8.80860212310323
"Escorial (El)",2009,4,NA
"Fuenlabrada",2009,4,8.34751021710463
"Galapagar",2009,4,8.15451873278074
"Getafe",2009,4,8.82957407646765
"La Moraleja",2009,4,NA
"Leganés",2009,4,9.03349304704703
"Majadahonda",2009,4,10.7852562078244
"Móstoles",2009,4,8.50692166597709
"Navalcarnero",2009,4,NA
"Paracuellos Del Jarama",2009,4,NA
"Parla",2009,4,7.93722473823338
"Pinto",2009,4,NA
"Pozuelo De Alarcón",2009,4,11.7488426491303
"Rivas Vaciamadrid",2009,4,NA
"Rozas De Madrid (Las)",2009,4,10.6013517898005
"San Lorenzo Del Escorial",2009,4,NA
"San Sebastián De Los Reyes",2009,4,10.4175687367354
"Torrejón De Ardoz",2009,4,8.48428607858327
"Torrelodones",2009,4,NA
"Tres Cantos",2009,4,9.7418190448196
"Valdemoro",2009,4,7.647536624
"Villanueva De La Cañada",2009,4,NA
"Villaviciosa De Odón",2009,4,NA
"Alcalá De Henares",2010,1,8.23726397539113
"Alcobendas",2010,1,10.1775248217712
"Alcorcón",2010,1,9.01527493377886
"Alpedrete",2010,1,NA
"Aranjuez",2010,1,7.63563709164474
"Arroyomolinos",2010,1,NA
"Boadilla Del Monte",2010,1,9.67659257738457
"Ciempozuelos",2010,1,NA
"Collado Villalba",2010,1,9.03117256357244
"Colmenar Viejo",2010,1,8.45636431926152
"Coslada",2010,1,8.42567434
"Escorial (El)",2010,1,NA
"Fuenlabrada",2010,1,8.27449901019075
"Galapagar",2010,1,8.09683391805594
"Getafe",2010,1,8.5874426592338
"La Moraleja",2010,1,15.3896136807169
"Leganés",2010,1,8.90032694651125
"Majadahonda",2010,1,11.0403703421196
"Móstoles",2010,1,8.44502613322186
"Navalcarnero",2010,1,NA
"Paracuellos Del Jarama",2010,1,NA
"Parla",2010,1,7.75671369607941
"Pinto",2010,1,8.30086220688667
"Pozuelo De Alarcón",2010,1,11.9088243627628
"Rivas Vaciamadrid",2010,1,NA
"Rozas De Madrid (Las)",2010,1,10.94360839041
"San Lorenzo Del Escorial",2010,1,NA
"San Sebastián De Los Reyes",2010,1,9.93795312195432
"Torrejón De Ardoz",2010,1,8.66216880184093
"Torrelodones",2010,1,NA
"Tres Cantos",2010,1,9.68441484099972
"Valdemoro",2010,1,7.751458511
"Villanueva De La Cañada",2010,1,NA
"Villaviciosa De Odón",2010,1,NA
"Alcalá De Henares",2010,2,8.27133480949021
"Alcobendas",2010,2,10.2712114565761
"Alcorcón",2010,2,8.85561441604812
"Alpedrete",2010,2,NA
"Aranjuez",2010,2,7.41506559179682
"Arroyomolinos",2010,2,NA
"Boadilla Del Monte",2010,2,9.75819910769212
"Ciempozuelos",2010,2,NA
"Collado Villalba",2010,2,9.16932830585858
"Colmenar Viejo",2010,2,8.64351421512626
"Coslada",2010,2,NA
"Escorial (El)",2010,2,NA
"Fuenlabrada",2010,2,8.3343947214006
"Galapagar",2010,2,7.87939248731408
"Getafe",2010,2,8.62419402289531
"La Moraleja",2010,2,15.1103865613765
"Leganés",2010,2,9.06834743569783
"Majadahonda",2010,2,11.1718496169044
"Móstoles",2010,2,8.2312940453849
"Navalcarnero",2010,2,NA
"Paracuellos Del Jarama",2010,2,NA
"Parla",2010,2,7.55434625121716
"Pinto",2010,2,8.3108919047746
"Pozuelo De Alarcón",2010,2,11.7985266641971
"Rivas Vaciamadrid",2010,2,NA
"Rozas De Madrid (Las)",2010,2,11.2106589391426
"San Lorenzo Del Escorial",2010,2,7.66609196042563
"San Sebastián De Los Reyes",2010,2,10.077893056243
"Torrejón De Ardoz",2010,2,8.60165214483839
"Torrelodones",2010,2,NA
"Tres Cantos",2010,2,9.43347929285957
"Valdemoro",2010,2,7.400612152
"Villanueva De La Cañada",2010,2,NA
"Villaviciosa De Odón",2010,2,NA
"Alcalá De Henares",2010,3,8.56881917844722
"Alcobendas",2010,3,10.0097394132976
"Alcorcón",2010,3,8.5948298729596
"Alpedrete",2010,3,NA
"Aranjuez",2010,3,7.08998520993272
"Arroyomolinos",2010,3,NA
"Boadilla Del Monte",2010,3,10.2152369928079
"Ciempozuelos",2010,3,NA
"Collado Villalba",2010,3,8.99573217067561
"Colmenar Viejo",2010,3,8.53633174691698
"Coslada",2010,3,NA
"Escorial (El)",2010,3,NA
"Fuenlabrada",2010,3,8.27434695873411
"Galapagar",2010,3,7.58698655088682
"Getafe",2010,3,8.63139622593685
"La Moraleja",2010,3,14.9545347106326
"Leganés",2010,3,9.39795662149427
"Majadahonda",2010,3,11.1303035324754
"Móstoles",2010,3,8.37621046743313
"Navalcarnero",2010,3,NA
"Paracuellos Del Jarama",2010,3,NA
"Parla",2010,3,7.62060543599952
"Pinto",2010,3,8.56749627389859
"Pozuelo De Alarcón",2010,3,12.1850773467435
"Rivas Vaciamadrid",2010,3,NA
"Rozas De Madrid (Las)",2010,3,11.1620846138422
"San Lorenzo Del Escorial",2010,3,7.40567016
"San Sebastián De Los Reyes",2010,3,10.0437690440051
"Torrejón De Ardoz",2010,3,8.10374949477997
"Torrelodones",2010,3,NA
"Tres Cantos",2010,3,9.68682427847092
"Valdemoro",2010,3,7.393900408
"Villanueva De La Cañada",2010,3,9.5702522295311
"Villaviciosa De Odón",2010,3,NA
"Alcalá De Henares",2010,4,8.4059750400444
"Alcobendas",2010,4,9.86834773028666
"Alcorcón",2010,4,8.32627096011517
"Alpedrete",2010,4,NA
"Aranjuez",2010,4,7.34502480389563
"Arroyomolinos",2010,4,NA
"Boadilla Del Monte",2010,4,9.99652765734305
"Ciempozuelos",2010,4,NA
"Collado Villalba",2010,4,8.99398423681058
"Colmenar Viejo",2010,4,8.21711121888935
"Coslada",2010,4,NA
"Escorial (El)",2010,4,NA
"Fuenlabrada",2010,4,8.38671067982569
"Galapagar",2010,4,7.45325710849227
"Getafe",2010,4,8.55397612829471
"La Moraleja",2010,4,15.3117589654716
"Leganés",2010,4,9.01956693342568
"Majadahonda",2010,4,11.1258390575473
"Móstoles",2010,4,8.34475144720242
"Navalcarnero",2010,4,NA
"Paracuellos Del Jarama",2010,4,NA
"Parla",2010,4,7.43809903480651
"Pinto",2010,4,8.44961410076466
"Pozuelo De Alarcón",2010,4,12.1703214932148
"Rivas Vaciamadrid",2010,4,8.29532459241681
"Rozas De Madrid (Las)",2010,4,11.4441638324263
"San Lorenzo Del Escorial",2010,4,7.60842939144615
"San Sebastián De Los Reyes",2010,4,9.76420075214987
"Torrejón De Ardoz",2010,4,8.31453669252426
"Torrelodones",2010,4,NA
"Tres Cantos",2010,4,9.31891329796034
"Valdemoro",2010,4,7.623906582
"Villanueva De La Cañada",2010,4,NA
"Villaviciosa De Odón",2010,4,NA
"Alcalá De Henares",2011,1,8.12843933099736
"Alcobendas",2011,1,9.84212522883311
"Alcorcón",2011,1,8.32028970835144
"Alpedrete",2011,1,NA
"Aranjuez",2011,1,6.84084803446856
"Arroyomolinos",2011,1,NA
"Boadilla Del Monte",2011,1,9.57838808614165
"Ciempozuelos",2011,1,NA
"Collado Villalba",2011,1,9.18505105182542
"Colmenar Viejo",2011,1,7.71558804023986
"Coslada",2011,1,NA
"Escorial (El)",2011,1,NA
"Fuenlabrada",2011,1,8.14828261466626
"Galapagar",2011,1,7.33739863290474
"Getafe",2011,1,8.54219342349294
"La Moraleja",2011,1,14.8677680411716
"Leganés",2011,1,9.33376837953825
"Majadahonda",2011,1,11.2910150428658
"Móstoles",2011,1,8.34098412229386
"Navalcarnero",2011,1,NA
"Paracuellos Del Jarama",2011,1,NA
"Parla",2011,1,7.35499557456728
"Pinto",2011,1,8.39473954
"Pozuelo De Alarcón",2011,1,12.043805077012
"Rivas Vaciamadrid",2011,1,8.18630850174782
"Rozas De Madrid (Las)",2011,1,11.512149641955
"San Lorenzo Del Escorial",2011,1,7.7028220435522
"San Sebastián De Los Reyes",2011,1,9.83299096181147
"Torrejón De Ardoz",2011,1,8.24023085594284
"Torrelodones",2011,1,NA
"Tres Cantos",2011,1,9.20993191654891
"Valdemoro",2011,1,8.506566322
"Villanueva De La Cañada",2011,1,NA
"Villaviciosa De Odón",2011,1,NA
"Alcalá De Henares",2011,2,8.39529827861125
"Alcobendas",2011,2,9.74191032502155
"Alcorcón",2011,2,8.24408176569435
"Alpedrete",2011,2,NA
"Aranjuez",2011,2,6.72995561088996
"Arroyomolinos",2011,2,NA
"Boadilla Del Monte",2011,2,9.64451955994697
"Ciempozuelos",2011,2,NA
"Collado Villalba",2011,2,9.25028418271796
"Colmenar Viejo",2011,2,8.43837338571844
"Coslada",2011,2,NA
"Escorial (El)",2011,2,NA
"Fuenlabrada",2011,2,8.12308549440541
"Galapagar",2011,2,7.61247188578172
"Getafe",2011,2,8.5262578272144
"La Moraleja",2011,2,15.2882456472571
"Leganés",2011,2,8.92725780940594
"Majadahonda",2011,2,11.5258861264172
"Móstoles",2011,2,8.06171527963008
"Navalcarnero",2011,2,NA
"Paracuellos Del Jarama",2011,2,NA
"Parla",2011,2,7.43017478169294
"Pinto",2011,2,8.34194614728246
"Pozuelo De Alarcón",2011,2,11.6044317272317
"Rivas Vaciamadrid",2011,2,8.00196674825424
"Rozas De Madrid (Las)",2011,2,11.2056554517898
"San Lorenzo Del Escorial",2011,2,7.43013568226601
"San Sebastián De Los Reyes",2011,2,9.85356649553429
"Torrejón De Ardoz",2011,2,7.85422781486458
"Torrelodones",2011,2,NA
"Tres Cantos",2011,2,9.122649134
"Valdemoro",2011,2,8.57852648
"Villanueva De La Cañada",2011,2,9.94796909050604
"Villaviciosa De Odón",2011,2,NA
"Alcalá De Henares",2011,3,8.23301067148092
"Alcobendas",2011,3,9.92511578566578
"Alcorcón",2011,3,8.39516539658162
"Alpedrete",2011,3,NA
"Aranjuez",2011,3,6.75226147713668
"Arroyomolinos",2011,3,NA
"Boadilla Del Monte",2011,3,9.43802934681542
"Ciempozuelos",2011,3,NA
"Collado Villalba",2011,3,9.07997756362217
"Colmenar Viejo",2011,3,8.32582744
"Coslada",2011,3,NA
"Escorial (El)",2011,3,NA
"Fuenlabrada",2011,3,7.79120516494575
"Galapagar",2011,3,7.49024695992032
"Getafe",2011,3,8.38676565554933
"La Moraleja",2011,3,14.8290117694062
"Leganés",2011,3,8.81042381269158
"Majadahonda",2011,3,11.6594991249127
"Móstoles",2011,3,7.88216832588374
"Navalcarnero",2011,3,NA
"Paracuellos Del Jarama",2011,3,NA
"Parla",2011,3,7.60170766011186
"Pinto",2011,3,7.67853094368857
"Pozuelo De Alarcón",2011,3,11.5117890318792
"Rivas Vaciamadrid",2011,3,8.13848125182071
"Rozas De Madrid (Las)",2011,3,11.0262983659878
"San Lorenzo Del Escorial",2011,3,7.16254381248784
"San Sebastián De Los Reyes",2011,3,9.6770173953197
"Torrejón De Ardoz",2011,3,7.9218283929405
"Torrelodones",2011,3,NA
"Tres Cantos",2011,3,9.19492573
"Valdemoro",2011,3,8.664090909
"Villanueva De La Cañada",2011,3,9.09818741935548
"Villaviciosa De Odón",2011,3,NA
"Alcalá De Henares",2011,4,8.06613997941867
"Alcobendas",2011,4,9.99570978990063
"Alcorcón",2011,4,8.35324939531168
"Alpedrete",2011,4,NA
"Aranjuez",2011,4,6.75970461116473
"Arroyomolinos",2011,4,NA
"Boadilla Del Monte",2011,4,9.79035277796552
"Ciempozuelos",2011,4,6.55508823503038
"Collado Villalba",2011,4,9.020771842308
"Colmenar Viejo",2011,4,8.39799182756128
"Coslada",2011,4,NA
"Escorial (El)",2011,4,NA
"Fuenlabrada",2011,4,7.78690610595487
"Galapagar",2011,4,7.36081867368752
"Getafe",2011,4,8.39603038133785
"La Moraleja",2011,4,15.058759244511
"Leganés",2011,4,8.64432034196802
"Majadahonda",2011,4,11.0239591330976
"Móstoles",2011,4,7.67587065201548
"Navalcarnero",2011,4,NA
"Paracuellos Del Jarama",2011,4,NA
"Parla",2011,4,7.32142638379184
"Pinto",2011,4,8.17015691455198
"Pozuelo De Alarcón",2011,4,11.715142739738
"Rivas Vaciamadrid",2011,4,7.77295413304552
"Rozas De Madrid (Las)",2011,4,11.1357820027173
"San Lorenzo Del Escorial",2011,4,7.2485394185299
"San Sebastián De Los Reyes",2011,4,9.93266039844337
"Torrejón De Ardoz",2011,4,7.85016670325832
"Torrelodones",2011,4,NA
"Tres Cantos",2011,4,9.254629582
"Valdemoro",2011,4,8.373658625
"Villanueva De La Cañada",2011,4,NA
"Villaviciosa De Odón",2011,4,NA
"Alcalá De Henares",2012,1,7.99937459041049
"Alcobendas",2012,1,9.96821345209369
"Alcorcón",2012,1,8.22734779726513
"Alpedrete",2012,1,NA
"Aranjuez",2012,1,6.59579162511252
"Arroyomolinos",2012,1,NA
"Boadilla Del Monte",2012,1,9.55917915766657
"Ciempozuelos",2012,1,6.27839167115733
"Collado Villalba",2012,1,8.73679701128008
"Colmenar Viejo",2012,1,8.27491118744316
"Coslada",2012,1,NA
"Escorial (El)",2012,1,NA
"Fuenlabrada",2012,1,7.74784265397423
"Galapagar",2012,1,7.18389806482572
"Getafe",2012,1,8.23116588633714
"La Moraleja",2012,1,14.2835364766438
"Leganés",2012,1,8.27573685133274
"Majadahonda",2012,1,10.9586547196573
"Móstoles",2012,1,7.65217498248294
"Navalcarnero",2012,1,NA
"Paracuellos Del Jarama",2012,1,NA
"Parla",2012,1,7.1392400512795
"Pinto",2012,1,8.27501740372431
"Pozuelo De Alarcón",2012,1,12.0583724130478
"Rivas Vaciamadrid",2012,1,7.7969887908031
"Rozas De Madrid (Las)",2012,1,10.8791441929173
"San Lorenzo Del Escorial",2012,1,6.86367910523431
"San Sebastián De Los Reyes",2012,1,9.8560953403376
"Torrejón De Ardoz",2012,1,7.82299069644542
"Torrelodones",2012,1,NA
"Tres Cantos",2012,1,9.37402852
"Valdemoro",2012,1,7.591401264
"Villanueva De La Cañada",2012,1,NA
"Villaviciosa De Odón",2012,1,NA
"Alcalá De Henares",2012,2,7.87687704434543
"Alcobendas",2012,2,9.68733217699739
"Alcorcón",2012,2,8.17255154661822
"Alpedrete",2012,2,NA
"Aranjuez",2012,2,6.50982693412653
"Arroyomolinos",2012,2,6.06029815928994
"Boadilla Del Monte",2012,2,9.52114674288797
"Ciempozuelos",2012,2,6.24887253496369
"Collado Villalba",2012,2,8.38172228563605
"Colmenar Viejo",2012,2,8.49873478829303
"Coslada",2012,2,7.80143955643627
"Escorial (El)",2012,2,NA
"Fuenlabrada",2012,2,7.6843592356404
"Galapagar",2012,2,7.10681046921791
"Getafe",2012,2,7.93866406200278
"La Moraleja",2012,2,14.137911363755
"Leganés",2012,2,8.36170373472331
"Majadahonda",2012,2,11.0115022254105
"Móstoles",2012,2,7.71464557823103
"Navalcarnero",2012,2,NA
"Paracuellos Del Jarama",2012,2,NA
"Parla",2012,2,6.84569853974165
"Pinto",2012,2,8.13443468818897
"Pozuelo De Alarcón",2012,2,11.8957789995568
"Rivas Vaciamadrid",2012,2,7.507379211519
"Rozas De Madrid (Las)",2012,2,10.1369696112595
"San Lorenzo Del Escorial",2012,2,7.04695661563518
"San Sebastián De Los Reyes",2012,2,9.65276550944228
"Torrejón De Ardoz",2012,2,7.77637010056838
"Torrelodones",2012,2,8.59239108423917
"Tres Cantos",2012,2,9.43337779925361
"Valdemoro",2012,2,7.236441399
"Villanueva De La Cañada",2012,2,9.25728538485154
"Villaviciosa De Odón",2012,2,10.6892777454195
"Alcalá De Henares",2012,3,7.75366099015289
"Alcobendas",2012,3,9.29347964466836
"Alcorcón",2012,3,8.05722805071697
"Alpedrete",2012,3,8.61214695494409
"Aranjuez",2012,3,6.70859767420604
"Arroyomolinos",2012,3,6.60292035199573
"Boadilla Del Monte",2012,3,9.28806274645746
"Ciempozuelos",2012,3,6.33794093261609
"Collado Villalba",2012,3,8.34841259192109
"Colmenar Viejo",2012,3,8.27826278630092
"Coslada",2012,3,7.9019058346285
"Escorial (El)",2012,3,6.98022478946823
"Fuenlabrada",2012,3,7.60516990902934
"Galapagar",2012,3,7.24707665194507
"Getafe",2012,3,7.97286194563437
"La Moraleja",2012,3,14.1043713479211
"Leganés",2012,3,8.19449058649693
"Majadahonda",2012,3,10.6970680021967
"Móstoles",2012,3,7.46954943309072
"Navalcarnero",2012,3,6.27532531507948
"Paracuellos Del Jarama",2012,3,NA
"Parla",2012,3,7.02033574249255
"Pinto",2012,3,7.52447972841699
"Pozuelo De Alarcón",2012,3,11.4301458467574
"Rivas Vaciamadrid",2012,3,7.40446569216837
"Rozas De Madrid (Las)",2012,3,10.3022984323944
"San Lorenzo Del Escorial",2012,3,6.85416004788056
"San Sebastián De Los Reyes",2012,3,9.28270060567909
"Torrejón De Ardoz",2012,3,7.60533585082403
"Torrelodones",2012,3,8.51016842217617
"Tres Cantos",2012,3,9.07143270005985
"Valdemoro",2012,3,7.068065113
"Villanueva De La Cañada",2012,3,8.83491647782998
"Villaviciosa De Odón",2012,3,10.4023263416554
"Alcalá De Henares",2012,4,7.50351665164687
"Alcobendas",2012,4,9.20201202686597
"Alcorcón",2012,4,7.75534468224544
"Alpedrete",2012,4,8.40862801245733
"Aranjuez",2012,4,6.32462156679789
"Arroyomolinos",2012,4,5.90329988898998
"Boadilla Del Monte",2012,4,9.46255123125163
"Ciempozuelos",2012,4,6.13325817403271
"Collado Villalba",2012,4,8.22716258191228
"Colmenar Viejo",2012,4,8.07091815509924
"Coslada",2012,4,7.47191291750878
"Escorial (El)",2012,4,6.854764345
"Fuenlabrada",2012,4,7.42157076849919
"Galapagar",2012,4,6.94036634685538
"Getafe",2012,4,7.6974249013059
"La Moraleja",2012,4,13.7956890289016
"Leganés",2012,4,8.14216713056369
"Majadahonda",2012,4,10.511660472337
"Móstoles",2012,4,7.5310564973546
"Navalcarnero",2012,4,5.89705706121856
"Paracuellos Del Jarama",2012,4,7.66144319224279
"Parla",2012,4,6.86436860901605
"Pinto",2012,4,7.46230467463149
"Pozuelo De Alarcón",2012,4,11.4149308779412
"Rivas Vaciamadrid",2012,4,7.40379593285237
"Rozas De Madrid (Las)",2012,4,10.2743977427115
"San Lorenzo Del Escorial",2012,4,6.59281786041667
"San Sebastián De Los Reyes",2012,4,9.10620717454305
"Torrejón De Ardoz",2012,4,7.4178840392083
"Torrelodones",2012,4,8.72176956015397
"Tres Cantos",2012,4,8.79393929799975
"Valdemoro",2012,4,7.100079951
"Villanueva De La Cañada",2012,4,7.94821885443622
"Villaviciosa De Odón",2012,4,10.3373240795186
"Alcalá De Henares",2013,1,7.36686335805545
"Alcobendas",2013,1,8.82341253568469
"Alcorcón",2013,1,7.5309922311918
"Alpedrete",2013,1,7.82279046143218
"Aranjuez",2013,1,6.1328681979374
"Arroyomolinos",2013,1,5.973904527
"Boadilla Del Monte",2013,1,9.2001841481822
"Ciempozuelos",2013,1,6.14486189778437
"Collado Villalba",2013,1,8.01115233731961
"Colmenar Viejo",2013,1,7.66795591763802
"Coslada",2013,1,7.69684606984101
"Escorial (El)",2013,1,6.77476477210385
"Fuenlabrada",2013,1,7.19072401527852
"Galapagar",2013,1,6.87058359173354
"Getafe",2013,1,7.56693747288859
"La Moraleja",2013,1,13.2836220979504
"Leganés",2013,1,7.75967146240513
"Majadahonda",2013,1,9.90760084784405
"Móstoles",2013,1,7.28325249955784
"Navalcarnero",2013,1,5.8521093965957
"Paracuellos Del Jarama",2013,1,7.36512746606479
"Parla",2013,1,6.74102884095335
"Pinto",2013,1,7.0836762523973
"Pozuelo De Alarcón",2013,1,10.84232081982
"Rivas Vaciamadrid",2013,1,7.18066796311102
"Rozas De Madrid (Las)",2013,1,9.86030178147195
"San Lorenzo Del Escorial",2013,1,6.02302751349467
"San Sebastián De Los Reyes",2013,1,8.73030762782719
"Torrejón De Ardoz",2013,1,7.17535195853698
"Torrelodones",2013,1,8.61999252919821
"Tres Cantos",2013,1,8.843476195
"Valdemoro",2013,1,6.94482188287563
"Villanueva De La Cañada",2013,1,7.99580196715825
"Villaviciosa De Odón",2013,1,9.61703850612155
"Alcalá De Henares",2013,2,7.35397989608033
"Alcobendas",2013,2,8.97068291214877
"Alcorcón",2013,2,7.5195328575727
"Alpedrete",2013,2,7.71440384935873
"Aranjuez",2013,2,6.03528374864834
"Arroyomolinos",2013,2,6.0488412985668
"Boadilla Del Monte",2013,2,9.01274716002913
"Ciempozuelos",2013,2,5.99972432858241
"Collado Villalba",2013,2,7.77969543647279
"Colmenar Viejo",2013,2,7.36389772145365
"Coslada",2013,2,7.46489730797502
"Escorial (El)",2013,2,6.92322898264231
"Fuenlabrada",2013,2,7.03738766974056
"Galapagar",2013,2,6.62196141013166
"Getafe",2013,2,7.47995333534755
"La Moraleja",2013,2,12.8510585860921
"Leganés",2013,2,7.75948271696186
"Majadahonda",2013,2,10.0946269290779
"Móstoles",2013,2,6.88043253652932
"Navalcarnero",2013,2,5.78493628731801
"Paracuellos Del Jarama",2013,2,7.29055795370563
"Parla",2013,2,6.4415034431627
"Pinto",2013,2,7.18706304323406
"Pozuelo De Alarcón",2013,2,10.2439604234656
"Rivas Vaciamadrid",2013,2,7.03126624154743
"Rozas De Madrid (Las)",2013,2,9.57666658636977
"San Lorenzo Del Escorial",2013,2,6.17418529619772
"San Sebastián De Los Reyes",2013,2,8.89441882877787
"Torrejón De Ardoz",2013,2,7.22013120645185
"Torrelodones",2013,2,8.6103046365171
"Tres Cantos",2013,2,8.96089374
"Valdemoro",2013,2,6.8115864433744
"Villanueva De La Cañada",2013,2,8.41016574794552
"Villaviciosa De Odón",2013,2,9.6637101391898
"Alcalá De Henares",2013,3,7.04
"Alcobendas",2013,3,8.69
"Alcorcón",2013,3,7.1
"Alpedrete",2013,3,7.5
"Aranjuez",2013,3,5.98
"Arroyomolinos",2013,3,6.58
"Boadilla Del Monte",2013,3,9
"Ciempozuelos",2013,3,6.16
"Collado Villalba",2013,3,7.62
"Colmenar Viejo",2013,3,7.26
"Coslada",2013,3,8.43
"Escorial (El)",2013,3,6.63
"Fuenlabrada",2013,3,7.02
"Galapagar",2013,3,6.44
"Getafe",2013,3,7.43
"La Moraleja",2013,3,12.77
"Leganés",2013,3,7.43
"Majadahonda",2013,3,10.2
"Móstoles",2013,3,7
"Navalcarnero",2013,3,5.93
"Paracuellos Del Jarama",2013,3,7.99
"Parla",2013,3,6.01
"Pinto",2013,3,6.78
"Pozuelo De Alarcón",2013,3,10.31
"Rivas Vaciamadrid",2013,3,6.98
"Rozas De Madrid (Las)",2013,3,9.89
"San Lorenzo Del Escorial",2013,3,6.82
"San Sebastián De Los Reyes",2013,3,8.85
"Torrejón De Ardoz",2013,3,7.09
"Torrelodones",2013,3,8.16
"Tres Cantos",2013,3,9.21
"Valdemoro",2013,3,6.74
"Villanueva De La Cañada",2013,3,7.75
"Villaviciosa De Odón",2013,3,9.91
"Alcalá De Henares",2013,4,6.91168396069905
"Alcobendas",2013,4,8.77453297116221
"Alcorcón",2013,4,7.2095749234964
"Alpedrete",2013,4,7.02900566684063
"Aranjuez",2013,4,5.93328111164781
"Arroyomolinos",2013,4,6.40988264515207
"Boadilla Del Monte",2013,4,8.70583669526352
"Ciempozuelos",2013,4,6.04300029992383
"Collado Villalba",2013,4,7.45963105547951
"Colmenar Viejo",2013,4,7.10537102177133
"Coslada",2013,4,8.36652998913018
"Escorial (El)",2013,4,6.62044673763882
"Fuenlabrada",2013,4,6.83323898402825
"Galapagar",2013,4,6.38530714579356
"Getafe",2013,4,7.41377592935387
"La Moraleja",2013,4,13.2001090390483
"Leganés",2013,4,7.36278442205664
"Majadahonda",2013,4,10.0907931775337
"Móstoles",2013,4,6.8433728143226
"Navalcarnero",2013,4,5.84350356073435
"Paracuellos Del Jarama",2013,4,7.88249132097165
"Parla",2013,4,6.06385874463723
"Pinto",2013,4,6.8124153006
"Pozuelo De Alarcón",2013,4,10.0314796420539
"Rivas Vaciamadrid",2013,4,6.8771915907583
"Rozas De Madrid (Las)",2013,4,9.86618596398539
"San Lorenzo Del Escorial",2013,4,6.83266520442062
"San Sebastián De Los Reyes",2013,4,8.53987718113116
"Torrejón De Ardoz",2013,4,7.03356842537803
"Torrelodones",2013,4,7.96108864722164
"Tres Cantos",2013,4,9.06702682652666
"Valdemoro",2013,4,6.56602003417699
"Villanueva De La Cañada",2013,4,7.83584571094105
"Villaviciosa De Odón",2013,4,10.084459280426
"Alcalá De Henares",2014,1,7.183958853
"Alcobendas",2014,1,8.83863742142581
"Alcorcón",2014,1,7.16489153000879
"Alpedrete",2014,1,7.5489714002961
"Aranjuez",2014,1,5.82895762162086
"Arroyomolinos",2014,1,6.06272715338232
"Boadilla Del Monte",2014,1,9.05784674374186
"Ciempozuelos",2014,1,6.00454638756222
"Collado Villalba",2014,1,7.58832696488933
"Colmenar Viejo",2014,1,7.12815377745657
"Coslada",2014,1,7.84759057880304
"Escorial (El)",2014,1,6.46137179424463
"Fuenlabrada",2014,1,6.95479964083815
"Galapagar",2014,1,6.3836274366752
"Getafe",2014,1,7.2739127917298
"La Moraleja",2014,1,12.9508815232337
"Leganés",2014,1,7.75603745603661
"Majadahonda",2014,1,10.0932449464108
"Móstoles",2014,1,6.83465534551453
"Navalcarnero",2014,1,5.99336546336039
"Paracuellos Del Jarama",2014,1,8.08045720557157
"Parla",2014,1,6.20746502693468
"Pinto",2014,1,7.12744433901548
"Pozuelo De Alarcón",2014,1,10.2046770970457
"Rivas Vaciamadrid",2014,1,6.83450313245298
"Rozas De Madrid (Las)",2014,1,9.57368878879616
"San Lorenzo Del Escorial",2014,1,7.09753651961324
"San Sebastián De Los Reyes",2014,1,8.75619499150293
"Torrejón De Ardoz",2014,1,6.98101879039702
"Torrelodones",2014,1,8.25970453775507
"Tres Cantos",2014,1,8.65239662861762
"Valdemoro",2014,1,6.64524224189745
"Villanueva De La Cañada",2014,1,7.89448253704606
"Villaviciosa De Odón",2014,1,9.86510915623525
"Alcalá De Henares",2014,2,7.3
"Alcobendas",2014,2,8.73
"Alcorcón",2014,2,7.27
"Alpedrete",2014,2,6.88
